"","Country_Standard","OZONERAW","PM10RAW","INDOORRAW","NLOADRAW","OVRSUBRAW","HARVESTRAW","AGSUBRAW","MORTALITYRAW","ENEFFRAW","CO2GDPRAW","RENPCRAW","OVRFSHRAW","WATSUPRAW","ACSATRAW","PWIRAW","PACOVRAW","WATAVL","NOXKM","SO2KM","VOCKM","COALKM","CARSKM","FOREST","TFR","EFPC","U5MORT","DISCAS","DISEXP","GASPR","ENEFF","ISO14","CO2GDP","CO2PC","WIND","DRY","WET","HOT","COLD","SST","VOLCANO","EARTHQK","TSUNAMI","SLIDES","LAND","DISP","ISOL","RELIEF","BORD","IMBAL","OPEN","MIG","ENDEM","INTRO","ENDANG","EXTINCT","FRAG","FARM","FERTL","BIOTECH","PRDOF","SULPH","MINING","VEH","POPDN","TOUR","CSTPOP","AGRMT","CLMCHG","FERTCON","LIFEEXP","SECENR","CULTOT","PRODHA","MTCATCH","CATCHSC","LANDAREA","WATICEAREA","TOTALAREA","INDOOR","ECORISK","PRTBRD","PRTMAM","PRTAMPH","ANTH10","ANTH40","ACEXC","GR2050","WATSTR","FORCERT","UND_NO","WATSUP","PRAREA","RENPC","PECR","ENROL","LOW","VEG","VEGLO","DEG","RESRV","WATER","POPGRTH","CROPLAND","FORESTAR","POPCOAST","CHLDIMM","URBANPCT","INVEST","MODPCT","CULPCT","CEREAL","STARCH","SUGARS","OILNUTS","PULSES","FRUIT","MEATS","DAIRY","FPPCT","FSPCT"
"165","Turkmenistan",55.02,67.69,50,128.26,27.92,0.02,0,5.78,25629.97,3121.72,0,4.32624113475177,71,62,0.74,0.3,10.04,0.26,0.07,0.15,0,42.1457055214724,0,2.89,2.6,98,0,0.12,0.03,24.07,0.919329608938547,3121.72,7.45,343.242240578675,-15.6,6.6,77.6058665786044,52.5772330687518,19.874,0,1,0.297734705555556,0,469930,7.95012023067265,0,3220,5,0.07288927129776,2.13648841316792,0.10001489583555,0,1.21624299471486,0.0680952482284596,0,0.0289340965675739,1786.20161387381,295.7674547273,0,616860.446235162,0.138637669440129,0,17.8193832454895,9.48864724533441,657.701573397486,2.80200930954228,21,1.0618,883.44,65.92,71.6473988439306,3402,1.4,0.42,8,460254.24,20492.96,480747.2,50,16.22,4.59693333333333,12.62,0,43.69,0.63,0,53,93.87,0,7,71,4.2,0.01,91.0238414634146,25.332323943662,0,4.1,0,13.4020618556701,7.37727272727273,1698.57,1.88072066552936,3.6069,8,8,98,44.74,20.5970138888889,80.3,7.2,44,65,4,69,99,100,87,95,70,100
"166","Tonga",30.09,58.1812138728324,44.31875,16731.0132727273,13.5706060606061,7.94425925925926,0,1,2281.32,190.37,0,2,100,97,16.0172375690608,0.8,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,31.91,0,3.4,2.54724137931034,20,39.3760810810811,0.69,0.996625766871166,2.77,0,190.37,1.2,347.446641661863,-105,65.8,1.14676661686859,7.67278624028646,5.09,80779.9442896936,3,7.1599,0,718,583.565459610028,3200,1033,5,-0.0591870047282258,1877.38031268493,5.57103064066852,157381.615598886,23.6768802228412,13.9275766016713,1.39275766016713,0.624629737420906,1.08635097493036,2863.50974930362,0,2110616.30754498,0.600924499229584,0,6.64763231197772,141.643454038997,43.1754874651811,136.189415041783,36,1.41884610516129,1576.68641891892,66.2676774193548,103,48,4.80584795321637,1.11,22,682.56,20.18,702.74,45.1656050955414,0,4.59693333333333,14.9130322580645,13.036936416185,4.35,0,0,20,25.2959731543624,0,16.9328859060403,100,11.4151396648045,0,100,3.8,100,30.4293333333333,-0.617032258064516,37.2755101651497,0.7,77.7750165173611,1.86276521926095,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,26.4,66.7,0,100,0,100,100,100,29,67,62,100
"167","Trinidad and Tobago",32.48,24.13,0,10.46,0,0.53,0,1.29,37706,1059.18,0.05,3,91,100,6.68,0.19,1.91,7.33,20.99,17.43,0,56.11,-0.8,1.63,1.73,20,0.19,0,0.66,38.67,0.57,1059.18,20.47,277.191914330596,-34.8,51.2,0.0482313988095238,1.2714054159361,4.28,0,1,0,0,5130,137.231968810916,20,940,1,-0.010886804332687,556.92007797271,5.26315789473684,47563.3528265107,0.779727095516569,1.55945419103314,0,1.62183235867446,1786.20161387381,4827.68031189084,0,1029925.45909787,5.80116959064327,2162.71280311891,23.729044834308,252.436647173489,41.8453541260559,252.436647173489,59,5.9494,1413.3,72.7,82,136,8.4,1.95,39,5202.12,0,5202.12,0,4.97,0.38,1,27.27,0.56,32.06,0,-7,99.85,0,12,91,4.7,0.08,98,6.48,100,35.5,-1.55,100,6,77.7750165173611,-0.496885216197386,23.782,50.4,100,88,73.62,22.16,14.6,26.5,4,26,100,27,46,92,71,8,47,87
"168","Tunisia",46.97,47.48,29,1847.36,51.94,26.13,1.91,0.75,4850.07,212.55,0.28,4,82,80,0.25,0.04,0.66,0.67,0.71,1.01,0.03,7.62,0.2,2,1.51,26,1.13,0.554934210526316,0.48,4.84,0.27,212.55,1.93,408.863586460487,-36.2,20.6,204.791958241009,25.6646512536095,12.642,0,0,0,0,155360,21.5692584963955,0,1561,3,0.0546530425704749,55.6385169927909,0.315396498455201,12.8733264675592,0.0965499485066941,0.154479917610711,0,0.148686920700309,4.05509783728115,788.491246138002,0,195250.267176186,1.38800205973223,66.8151614315139,1.85105561277034,61.7018537590113,30.7350669412976,51.8295571575695,100,0.54496,329.31,72,78,5411,1.4,1.8,36,147881.49,4493.32,152374.81,29,41.05,2.89,14.1,0,33.98,3.57,0,22,92.04,0,0,82,1.5,0.33,99,21.71,0,4.7,-0.53,78.6585365853659,0.3,76.5714,1.16434190915798,31.54,3.3,84,92,64.78,25.1,44.2,34.8,82,90,57,100,100,100,99,90,90,100
"169","Turkey",45,54.1,11,137.24,13.9,1.14,1,1.99,6690.17,294.29,10.84,6,93,83,4.01,0.26,2.85,0.33,2.99,1.26,0.94,8.02,0.2,2.46,2.2,41,0.36,0.21,1.67,6.59,0.3,294.29,3.25,265.612187345724,-44.2,41.6,157.71495774465,81.549445475664,12.951,2.59865129997531,3,0.12285,0,769630,14.0171251120668,0,5166,15,0.167419610167461,73.4586749477021,0.0896534698491483,3491.28802151683,0.0571703285994569,0.105245377649,0,0.501487727869236,1786.20161387381,2500.80168392604,0,53838.8929637656,2.30144355079714,527.590043839248,4.75878668970804,86.523394358328,11.5730935644401,49.7509517560386,90,0.74282,686.9,69.26,79,32254,3.3,6.49,72,768693.62,14456.58,783150.2,11,97.8,3.64,14.66,23.81,0.72,3.94,0.02,37,64.36,0,3,93,2.6,11.03,85.33,23.61,24.4755244755245,11.3,0,99.0990990990991,1.3,18.1122,1.25983685758912,35.04,13.3,58,76,74.08,24.44,52.5,41.9,94,100,100,90,100,100,93,99,97,84
"170","Taiwan",44.08,61.79,0,19.93,0,0.02,7.9,2.01,7489.77,212,1.84,7,100,67.1454545454545,26.91,0.87,1.74,14.77,6.29,25.68,26.95,161.78,-0.109028571428571,1.22,4.67,4.97,39.3760810810811,1.97,1,11.28,0.919329608938547,212,2.59,266.7504528599,-105.2,97.4,41.2506193724712,9.48179799482434,10.574,123.992560446373,1,0,0,32260,48.5523868567886,160,2762.1010989011,3,0.42015339342079,1877.38031268493,1.08493490390577,5518.2432458196,1.30192188468692,3.2548047117173,0,0.624629737420906,1786.20161387381,3637.70225810391,0,616860.446235162,39.0232486050837,0,17.8193832454895,693.442684438934,75.7801198594751,139.292120238554,8,2.7023,1576.68641891892,74.91,71.6473988439306,10590.2111111111,4.80584795321637,3.22445859872611,40.343949044586,36222.74,0,36222.74,45.1656050955414,0,4.2,17.14,27.27,0.1,29.18,0,-3,6.8,0,16.9328859060403,100,8.3,1.55,100,68,40,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,0.808315518748586,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,22.91,51.5705555555556,21.8405555555556,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
"171","United Republic of Tanzania",18.45,37.29,96,160.24,10.84,1.42,0,17.28,3492.52,181.85,37.86,6,73,46,34.39,0.99,6.71,0.19,0.1,1.57,0,0.16,-0.2,5.3,0.89,165,0.77,0.14,1.1,3.25,0.05,181.85,0.12,361.003975539424,-42.2,25.4,5.72465610027228,12.8527789861229,5.104,0,0,0,0,883590,7.76717708439435,0,5895,7,0.402271858045429,2.22048687739789,0.0633778109756788,1438.44995982299,0.0135809594947883,0.428931970710397,0.00226349324913138,0.099820052286694,0.0828438076483437,40.7428784843649,0,29588.701223889,7.24428939092952,0.109805496309374,0.0379327516155683,37.9327516155683,0.555687592661755,20.4336521236637,53,0.019819,174.1,47.15,6,7654,1.9,4.89,64,891021.57,3479.84,894501.41,96,1.75,3.99,12.97,25.48,14.35,0.14,0,105,0.03,0,43,73,39.6,37.23,100,0.61,16.504854368932,9.1,-0.97,25.5069370330843,14.6,1.4625,2.62262701945832,5.2626,43.9,21,69,31.7,17.86,48.6,8.7,92,100,98,100,99,100,96,98,98,100
"172","Uganda",14.24,15.69,97,636.32,1.35,7.05,0,16.44,1009.66,52.8,46.89,4.32624113475177,56,41,51.95,0.81,3.88,0.26,0.16,2.46,0,0.72,-2,6.9,1.29,141,0.65,0.65,1.36,1.01,0.09,52.8,0.06,288.663793009611,-40,50.2,110.515269815422,4.70292876356164,8.23519272108843,0,0,0.297734705555556,5.00876533934385,199650,13.5136488855497,0,4489,5,0.07288927129776,8.2694715752567,0.220385674931129,60.1051840721262,0.0601051840721262,0.510894064613073,0,0.624629737420906,1786.20161387381,0,0,616860.446235162,0.205910343100426,0.0251517084898573,0.218161783120461,109.08089156023,0.656148259454045,0,57,0.013195,1.19,41.83,20,7010,2.6,6.96,75,207069.18,665.19,207734.37,97,50.31,1.57,5.92,9.84,17.56,0.4,4.27,217,0,0.84,19,56,26.4,48.81,61.71,2.98,0,4.4,-0.95,52.3404255319149,7.9,0.512821,2.86544561266273,34.11,21,0,58,13.86,17.24,38,35.1,85,100,99,99,97,100,95,98,97,100
"173","Ukraine",44.3,35.14,11,1339.79,24.19,0,0,0.55,23642.6,2147.48,1.69,5,98,99,5.98,0.48,1.93,0.36,2.06,2.04,2.97,9.03,0.3,1.17,3.53,20,0.06,0.05,0.77,26.19,0.02,2147.48,6.23,251.843872514843,-31.4,31.8,345.169135496378,203.749968456574,16.758,0,0,0,0,579350,16.5979114524899,0,2061,5,-0.0278251210795752,37.7854492103219,0.126003279537413,3.45214464486062,0.0172607232243031,0.094933977733667,0,0.29113661862432,1786.20161387381,1529.48304133943,7,74958.2596380818,4.4556140502287,0.000863036161215155,8.09943557435057,87.0907051005437,9.01009752308622,21.2907409650717,77,1.983,268.32,67.3,97,39256,3.8,0.9,18,588417.29,3521.95,591939.23,11,100,3.04,14.81,0,0.36,6.64,0,-19,16.88,2.12,4,98,3.3,1.58,100,43.3,65.9367396593674,20.4,0.06,76.3727121464226,1.6,48.9454,-0.798634436084679,58.377,16.5,21,96,67.88,19.3,27.6,67.8,85,100,100,100,100,100,100,100,98,68
"174","Uruguay",24.99,173.24,0,29.72,0,7.94425925925926,0.55,0.57,5985.4,68.9,52.18,4,98,94,6.01,0.57,265.04,0.22,0.19,0.26,0,4.07,5,2.21,3.32,15,0,0.14,0.75,5.45,1.22,68.9,1.62,323.637940191883,-19.2,92.6,144.310005083024,126.902069652043,7.928,0,0,0,0,174810,15.2165207940049,0,514,2,-0.00180236523052742,25.4562095989932,0.217378868485785,263.142840798581,0.028602482695498,0.14301241347749,0,0.0513872204107317,1786.20161387381,665.425318917682,0,350813.405801014,0.155826325725073,0,2.8633945426463,19.0892969509753,11.829986842858,23.9009580291971,94,0.45521,1022.2,73.77,106,2770,2.9,5.39,67,174047.96,252.03,174299.99,0,100,4.64,7.41,9.3,2.03,1.68,0,24,0,5.81,3,98,0.4,60.56,100,36.1,0,0,-0.05,11.8279569892473,0.3,7.11864,0.780756515902167,7.4767,7.4,78,80,91.04,12.28,33,15.8,100,85,69,99,79,100,100,100,91,100
"175","United States of America",57.48,25.06,0,708.34,21.28,1.49,10.88,0.4,9111.96,170.72,3.98,6,100,100,28.59,0.91,8.43,7.13,4.68,5.19,5.91,65.42,0.2,2.02,9.57,8,0.95,0.56,0.66,8.99,0.34,170.72,20.12,324.888492496627,-60.4,25.6,311.179704774961,260.046316543556,5.61133,11.3548026447956,1,0.217535,0,9159120,15.8689917808698,0,6280,4,0.0421389774898707,113.927648070994,0.0131016953593795,484.65354750238,0.0133200569487025,0.108962433072173,0.0276227410493585,0.693101520670108,1786.20161387381,2951.04769890557,2202,53940.1499094259,1.98077872109984,0.000158967237027138,1.12902582344155,2.30884626470665,5.2413550646787,0.999730432617981,154,5.5294,1141.8,76.51,94,216612,3.2,3.21,52,9210753.38,89713.88,9300467.26,0,37.96,8.62,9.03,19.39,45.32,6.24,13.74,43,30.66,2.33,1,100,15.8,3.72,100,72.62,19.8782961460446,60.2,0.28,31.5603595890411,13.1,19.0496,0.905858537669215,19.543,24.7,43,89,76.98,17.67,39.2,23.6,100,100,97,100,100,84,100,96,97,87
"176","Uzbekistan",46.96,83.07,79,206.01,42.12,0,0,3.14,48332.41,2007.36,3.46,4.32624113475177,89,57,6.67,0.48,2.6,1.12,1.27,0.28,0.17,42.1457055214724,0.2,2.92,1.91,68,0,0.04,0.62,47.74,0,2007.36,4.67011173184358,343.242240578675,-20.6,21.2,77.6058665786044,52.5772330687518,8.23519272108843,0,0,0.297734705555556,2.41405948242565,414240,15.01786404017,0,4313,5,0.07288927129776,10.6629007338741,0.0869061413673233,965.623792970259,0.0434530706836616,0.0627655465430668,0,0.104922267284666,1786.20161387381,1276.19254538432,0,616860.446235162,1.01182889146389,0.00567303978370027,17.8193832454895,58.7050984936269,657.701573397486,3.70397188049209,23,1.1295,1229.1,69.36,95,7230,1.5,4.09,60,412711.17,1497.56,414208.74,79,17.73,4.59693333333333,9.28,0,48.06,2.7,0,84,86.67,0,26,89,4.6,2.91,100,25.332323943662,0,10.2,2.65,13.4228187919463,7.37727272727273,356.135,1.61396333480223,11.708,4.8,3,88,37.22,19.24,77.8,17.5,64,86,2,100,100,100,81,99,79,100
"177","Saint Vincent and the Grenadines",36.46,32.6,44.31875,16731.0132727273,13.5706060606061,0,0,1.27,4281.11,150.47,10.59,4,81.4008771929824,67.1454545454545,27.42,0.19,27.1595973154362,57.41,0.64,117.02,0,30.69,-1.4,2.11,2.54724137931034,25,39.3760810810811,0.554934210526316,0.996625766871166,4.09,0,150.47,1.43,343.242240578675,-100,62.2,77.6058665786044,52.5772330687518,4.164,0,0,0,0,389,215.938303341902,300,966,3,-0.0338597098506948,1877.38031268493,56.5552699228792,5518.2432458196,2.5706940874036,30.8483290488432,0,2.67352185089974,2538.6118251928,3637.70225810391,0,291415.898328691,0.539845758354756,0,17.8193832454895,298.051413881748,657.701573397486,139.292120238554,43,1.41884610516129,1576.68641891892,66.2676774193548,69,11,1.9,0.03,1,452.92,41.84,494.75,45.1656050955414,0,4.59693333333333,14.9130322580645,33.33,0,16.22,0,-21,25.2959731543624,0,16.9328859060403,80.2409375,10.2,9.18,99,25.332323943662,50,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,1.43727774154212,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,35.9,28.2,7,100,85,92,95,100,29,16,65,79
"178","Venezuela",32.88,15.9,0,11.62,9.71,0.08,9.96,2.97,22592.8,539.6,20.93,5,83,68,65.29,1,60.5,0.41,0.59,3.88,0,5.75,-0.4,2.83,2.42,22,68.56,0.48,0.08,20.39,0.13,539.6,6.5,204.556190350477,-72.6,43.6,6.57694786867249,8.72133353629129,4.386,0,0.366120218579235,0.147885,0,882050,13.3269089053909,0,5007,5,-0.102885322669207,20.7267161725526,0.0362791224987246,9349.81010146817,0.0102035032027663,0.151918825463409,0,0.109013094495777,566.118978515957,340.275494586475,0,107182.571425548,0.502193753188595,258.743976419331,1.86334108043762,27.4020747123179,0.657937002815411,26.1287636793848,80,1.5951,1121.2,72.97,70,5567,4.9,3.39,54,911835.87,11990.07,923825.94,0,5.38,1.79,6.97,23.21,52.01,1.37,0,59,4.9,0.28,18,83,70.3,20.53,100,29.06,0,83.6,-1.11,20.8791208791209,35.4,0.484634,1.58929014317803,3.9567,56.1,73,60,86.62,13.27,48.3,6.3,54,93,95,74,85,100,96,68,83,85
"179","Viet Nam",41.83,75.12,98,22.56,3.03,8.23,0,2.24,4879.63,540.47,21.59,5,73,41,10.76,0.5,8.7,0.56,0.26,2.21,0.44,0.21,0.5,2.1,0.76,26,8.38,1.41,0.56,4.46,0.3,540.47,0.74,293.038089453565,-57.6,51.6,32.7231599286113,16.2444166026467,6.89,0,0,0,6.14458201480844,325490,49.3041260868229,0,3143,3,0.11094266365718,41.3683984146978,0.13825309533319,4153.73744201051,1.21624299471486,0.703554640695567,0,0.286644750990814,1786.20161387381,4558.08780607699,0,70619.1567612565,0.594826261943531,0,17.8193832454895,245.267135703094,5.38449721957664,203.081188362162,58,0.16009,2773.3,68.37,72,8705,4.2,3.18,52,328819.59,284.14,329103.73,98,96.14,6.92,19.72,11.11,0.12,1.74,32.17,41,10.65,0,19,73,4.2,24.15,97,9.73,52.5,17.2,-1.43,78.4848484848485,3,14.8158,1.47909574028435,22.274,30.2,83,95,19.64,28.71,64.3,26.7,100,100,99,100,100,100,99,10,88,100
"180","Vanuatu",30.5,28.27,44.31875,16731.0132727273,13.5706060606061,7.94425925925926,0,2.02,2169.29,89.03,0,3,60,67.1454545454545,0,0.09,27.1595973154362,0.01,2.02892617449664,3.68503225806452,0,0.61,0.1,4.8,2.54724137931034,42,39.3760810810811,1.18,0.996625766871166,1.99,0,89.03,0.41,291.015353875803,-31.2,28.8,1.87040117927574,3.64015342136708,4.866,10327.868852459,5,1.18671,0,12200,207.213114754098,1800,1877,4,0.0649906011286828,1877.38031268493,0.737704918032787,1065.5737704918,0.327868852459016,1.80327868852459,0.0819672131147541,0.0877049180327869,1786.20161387381,8.19672131147541,0,591929.576018248,0.0596205962059621,0,0.193452786885246,16.7295081967213,4.34426229508197,14.8809836065574,55,1.41884610516129,1576.68641891892,66.2676774193548,28,130,4.2,7.57,78,12273.62,20.47,12294.09,45.1656050955414,0,4.59693333333333,14.9130322580645,13.036936416185,12.38,0.37,0,124,25.2959731543624,0,16.9328859060403,60,1.4,0,100,25.332323943662,70,40,-0.617032258064516,37.2755101651497,1.6,77.7750165173611,1.73612209811305,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,68.3,10.7,5,89,0,100,100,97,100,78,71,66
"181","Samoa",27.09,58.1812138728324,44.31875,16731.0132727273,13.5706060606061,7.94425925925926,0,1.38,2757.37,155.53,23.19,4,88,100,16.0172375690608,0.55,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,42.1457055214724,-2.1,4.4,2.54724137931034,25,39.3760810810811,0.554934210526316,0.996625766871166,2.6,0,155.53,0.81,231.445285333079,-74.4,54.2,44.522299120886,29.0765880621527,5.994,2807.01754385965,0,9.92556,0,2850,141.40350877193,3800,1857,1,-0.0395094602114901,1877.38031268493,1.40350877192982,62807.0175438596,4.21052631578947,4.91228070175439,0,0.624629737420906,6587.36842105263,3510,0,322849.208676746,0.216312056737589,0,2.03964912280702,62.7368421052632,29.3567251461988,56.5957894736842,38,1.41884610516129,1576.68641891892,66.2676774193548,76,131,4.80584795321637,0.14,3,2887.94,0,2887.94,45.1656050955414,0,4.59693333333333,14.9130322580645,13.036936416185,6.58,0,0,34,25.2959731543624,0,16.9328859060403,88,11.4151396648045,24.7,100,10.94,100,37,-0.617032258064516,37.2755101651497,1,77.7750165173611,-0.227341111965498,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,49.5,46.3,0,100,0,100,100,100,38,25,58,14
"182","Yemen",39.92,97.63,66,0,55.88,5.88,0,7.13,9359.76,407.46,0,3,69,30,0,0,30.36,2.31398692810458,2.02892617449664,3.68503225806452,0,3.22,-1.9,7,0.71,114,3.65,0.55,0.34,8.79,0,407.46,0.47,165.830432700124,-9.2,2.8,15.4295226626286,72.3602487887951,5.532,3.78809402049359,0,0,0,527970,9.27136011515806,0,3760,5,-0.133413909006694,5.69161126579162,0.0719737863893782,331.458226793189,0.00189404701024679,0.136371384737769,0.00189404701024679,0.122592192738224,0.131287762562267,26.5071879084039,0,449594.698953492,0.0713866318162017,23.9059672140463,0.514574691743849,34.3049794495899,0.127279959088585,36.5230866941886,50,0.18152,83.22,55.52,47,3110,1.7,10.87,87,415203.04,537.67,415740.71,66,0.87,8.39,9.09,16.67,49.09,0.17,0,255,64.31,0,33,69,11.4151396648045,0,79,10.77,25,0,0,45.1143451143451,0,71.4634,3.42595081263989,3.0551,0.9,64,51,24.48,19.93,78.3,5.9,24,100,0,22,85,97,85,48,58,98
"183","South Africa",28.91,24.15,28,1766.09,54.84,7.59,6.65,8.26,10128.53,518.89,0.2,5,87,67,10.39,0.77,1.48,0.64,2.35,1.62,9.87,18.65,-0.1,2.76,3.52,65,1.38,0.48,0.7,9.42,0.58,518.89,7.44,309.63715426233,-57.8,26.6,117.300141011148,54.0633639341677,5.93,0,0,0,0,1221040,7.05382297058245,0,3408,6,0.296552132928413,28.3569743824936,0.0663368931402739,154.786083993972,0.0343969075542161,0.231769638996265,0.00737076590447487,0.437438576950796,136.773725185088,680.813077376662,41,159855.932336653,1.51812389438511,185.347297260526,3.30677127694424,33.0677127694424,4.89336958658193,41.8732418021861,87,0.35,647,63.36,88,25745,4.4,7.08,75,1217643.11,28598.8,1246241.91,28,29.83,4.7,14.12,18.42,55.56,1.85,0,-11,68.44,18.17,16.9328859060403,87,6.2,0.52,94,15.24,19.2857142857143,0.2,-0.18,64.3522438611346,7.37727272727273,29.6875,0.380175307254981,12.899,7.3,39,76,53.7,14.94,50.4,21.1,100,97,100,85,99,100,91,100,96,36
"184","Zambia",22.27,72.73,87,33.73,0.1,0.6,0,22.84,11906.2,124.74,78.54,4.32624113475177,55,45,47.99,1,17.15,0.41,2.1,2.55,0.01,0.01,-2.4,5.64,1.02,182,0,0.34,1.18,11.59,0.23,124.74,0.18,187.196979351181,-34,37.4,20.7400896774846,13.9453892291292,8.23519272108843,0,0,0.297734705555556,0,743390,7.6191501096329,0,1972,7,0.07288927129776,1.98280848545178,0.0484268015442769,295.941564992803,0.0376652900899931,0.0497719904760624,0,0.0898330620535654,1786.20161387381,70.824197258505,0,616860.446235162,1.03013223207199,0,0.209678634364196,12.334037315541,0.624167664348458,0,56,0.059326,111.13,42.56,28,8309,3.3,0.75,15,745317.51,763.17,746080.68,87,0,1.82,4.72,1.19,22.87,0.21,5.13,70,0,0,50,55,41.4,78.23,79,2.47,12.2222222222222,70.1,-0.82,16.7553191489362,8.5,2.13217,1.95964108432757,7.1013,42,0,69,39.52,14.62,17.3,11.2,96,100,100,98,100,96,100,91,98,90
"185","Zimbabwe",24.93,61.44,67,195.05,20.43,1.19,0,15.2,6126.16,515.9,23.71,4.32624113475177,83,57,39.41,0.8,7.31,0.21,0.33,1.19,0.32,3.15,-1.5,3.96,1.05,123,0.41,0.76,0.996625766871166,5.99,0.919329608938547,515.9,1.17,140.663092333298,-62,44.6,39.5418193430612,16.8144852103598,8.23519272108843,0,0,0.297734705555556,0,386850,7.92555253974409,0,2430,4,0.07288927129776,10.011632415665,0.0982292878376632,258.498125888587,1.21624299471486,0.0982292878376632,0,0.0474033863254491,1786.20161387381,489.569600620396,0,616860.446235162,0.422747835078196,0,0.874760242988238,30.1641463099393,5.13291111972772,0,45,0.38258,587.66,50.95,40,5014,2.4,6.51,73,389053.02,0,389053.02,67,15.86,1.88,4.07,9.38,2.51,0.68,0,15,16.23,0.67,39,83,14.7,13.11,86,4.4,0,67.3,-0.57,0,7.9,8.65248,0.201410250860457,8.6597,49.2,0,73,34.6,17.63,67.6,13,100,90,100,100,99,96,91,100,97,87
