"","Country_Standard","ENVHEALEPI","BIODIVEPI","ENERGYEPI","WATEREPI","AIREPI","RESMGTEPI","ESI2005","SYSTEM","STRESS","VULNER","CAP","GLOBAL","FUNDING","WI","HWI","EWI","FOODSC","ECONSZSC","DEBTSC","ESC","POSC","GESC","EI","LANDDSC","LANDQSC","FPSC","FSHSC","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY","EVI"
"16","Bulgaria",93.7,30.9,28.1,65.8,48.8,77.5,50,46.7,56.4,72,44.9,27.7,58.97,44.5,58,31,88,39,17,78,63,46,56,29,46,14,14,4,1.5,3.46666666666667,3,2.81818181818182,0.76,-0.17,0.05,-0.06,9.2,322.916666666667
"17","Bahrain",63.486013986014,49.1798701298701,16.1,83.2824242424242,42.6,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,8.97,31.5,46,17,80,66,12,72,54,29,29,23,58,32,32,3,5,2.70588235294118,4.28571428571429,4,0.56,0.95,0.92,0.78,2.77006369426752,325.806451612903
"18","Bahamas",63.486013986014,49.1798701298701,72.2,99.9,42,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,12.18,43,54,32,86,69,0,73,54,49,39,50,100,74,74,1,1,2.17647058823529,3.71428571428571,2,0.65,1.41,1.34,1.4,2.77006369426752,248.387096774194
"19","Bosnia and Herzegovina",91.7,21.9,45.8,99.7,57.4,100,51,53.2,59.1,73.8,35.3,28.7,89.1,34.5,24,45,60.7371428571429,17,19,53.5602409638554,0,57,57,29,21,50.6496815286624,11,4,4,3.10526315789474,2.25,3.77777777777778,0.35,-0.6,-0.88,-0.9,0,305.714285714286
"20","Belarus",63.486013986014,54.3,20.9,97.5,55.3058479532164,100,52.8,55.8,65.5,77,31.2,26.4,15.38,48,46,50,60.7371428571429,45,75,81,67,53,67,33,77,50.6496815286624,80,4,6,2.55,2.375,2.11111111111111,0.54,-0.78,-1.12,-1.03,-4.5,238.888888888889
"21","Belize",63.486013986014,77.3,68.9,99.9,45.5,88.9,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,30.77,57,50,64,88,37,0,72,74,40,40,67,72,16,16,3,1.5,2.85185185185185,2.375,1.90909090909091,0.58,-0.25,0.05,-0.06,2.77006369426752,257.777777777778
"22","Bolivia",53.6,66.6,63.7,96.6,39,100,59.5,80.1,60.1,45,43.7,53.8,89.74,48.5,34,63,51,22,9,64,37,44,43,65,52,50.6496815286624,20,4,2.5,2.52,3,1.9,0.85,-0.82,-0.6,-0.53,9,250
"23","Brazil",79.3,50.5,80.6,97.7,64,80.9,62.2,65.8,57.8,61.9,61.6,66.1,48.72,40.5,45,36,79,46,8,63,68,43,26,59,48,49,49,4,2.5,3.10344827586207,2.625,2.09090909090909,0.8,-0.05,-0.3,-0.22,8,280.851063829787
"24","Barbados",84.2,49.1798701298701,77.3,83.2824242424242,64,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,6.41,47,62,32,86,64,15,78,68,48,48,17,58,43,13,4,1,3.2,4.75,5.75,0.52,1.29,1.43,1.36,2.77006369426752,402.857142857143
"25","Brunei Darussalam",63.486013986014,49.1798701298701,66.7471264367816,83.2824242424242,80.3,88.9,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,50.7821428571429,44.5,47,42,90,73,34.8901734104046,44,45,47,47,77,35,54,7,3,5.5,2.88235294117647,3.83333333333333,3.22222222222222,0.24,0.32,0.64,0.96,-7.7,312.903225806452
"26","Bhutan",63.486013986014,73.1,81.2,99.9,39,100,53.5,54.2,67.1,24.6,48.9,60.7,75,40.5,14,67,18,15,65,0,57,40,40,70,91,50.6496815286624,39.9661016949153,4,5.5,2.64705882352941,2.75,2.2,0.5,0.91,0.1,0.93,-8,252.941176470588
"27","Botswana",63.486013986014,83.5,79.8,67.3,55.3058479532164,100,55.9,70.6,53.3,56.2,54.6,36.9,40.38,51,34,68,48,44,80,46,45,51,51,70,65,52,7,4,2,2.12,1.5,1.4,0.65,0.76,0.72,0.87,9.6,185.714285714286
"28","Central African Republic",26.6,72.9,88.8,98.5,80.1,100,58.7,75.5,59.7,32.2,32.1,83.6,35.9,41,16,66,31,11,7,10,30,34,17,65,91,50.6496815286624,80,4,5,2,2,1.6,0.42,-1.02,-0.88,-1.43,5,192.5
"29","Canada",98.6,55.2,62.8,98.4,56.2,73.9,64.4,85,45.4,80.9,77.2,21.3,28,60.5,78,43,88,84,55,97,72,66,62,73,96,57,57,3,1,2.90322580645161,2.25,1.45454545454545,0.93,2.03,1.79,1.88,10,251.020408163265
"30","Switzerland",98.3,28.6,84.7,99.6,59.6,50,63.7,51.8,38.6,70.1,91,74,56,60.5,78,43,90,85,70,76,85,51,53,45,82,41,0,4,1,4,2.625,3,1,2.17,2.03,2.26,10,347.727272727273
"31","Chile",87.2,68.4,74.6,83.7,63.7,63,53.6,54.3,43.2,57.7,63,56.7,60.26,42.5,55,30,90,55,29,71,60,42,30,68,59,62,62,7,1.5,3,3.25,2.18181818181818,0.93,1.55,1.3,1.19,9.3,287.234042553192
"32","China",61,68.1,50.8,49.6,22.3,66.2,38.6,31.1,42,55.1,39,29.1,76.28,32,36,28,41,27,60,51,65,55,50,51,37,27,27,7,6.5,3.68965517241379,3.375,3.63636363636364,0.73,-0.41,-0.22,0.18,-7,359.574468085106
"33","C<f4>te d'Ivoire",34.8,70.7,78.2,98,76.2,77.8,47.3,43.4,53.6,46.8,30,65.9,71.15,38.5,20,57,54,16,8,26,80,26,40,48,87,65,15,5,4.5,2.48275862068966,2.71428571428571,2.36363636363636,0.57,-0.86,-1.21,-0.89,-1.6,247.826086956522
"34","Cameroon",31.4,54,85.3,99.6,67.5,77.8,52.5,60.2,55.7,42.9,44.1,54,53.85,39.5,15,64,44,15,0,20,17,38,38,46,50,40,24,5,6,2.26666666666667,2.5,2.27272727272727,0.61,-1.1,-1.28,-0.62,-4,229.166666666667
"35","Democratic Republic of the Congo",12.8,54.3,90.1,99.7,82.3,72.2,44.1,52.8,55.6,9.7,37.1,61.5,1.28,36,7,65,18,8,0,17,0,47,47,62,82,61,28,6,3.5,2.60869565217391,2.5,3.4,0.58,-1.42,-1.79,-1.6,0,280
"36","Congo",19.4,64.1,79,99.8,71.4,83.3,53.8,84,57.7,27.7,29.5,46.5,20.51,43.5,15,72,41,10,0,43,9,39,39,56,87,64,2,4,5,2.24137931034483,2.5,1.72727272727273,0.56,-0.94,-1.22,-1.25,-2.3,219.148936170213
"37","Colombia",82.4,60.3,82.4,97.4,69.4,82.8,58.9,68.6,52.6,56,61.4,53.7,43.59,42.5,43,42,70,44,21,60,25,57,36,67,57,66,16,4,4,3.03333333333333,2.5,3.09090909090909,0.82,-0.47,-0.75,-0.39,6.4,295.833333333333
"38","Comoros",63.486013986014,49.1798701298701,86.2,83.2824242424242,78.6,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,19.23,32,20,44,42,14,16,11,40,46,46,11,50,62,62,4,4.5,1.94117647058824,4,4,0.57,-0.73,0.19,-0.84,1.1,277.41935483871
"39","Cape Verde",63.486013986014,49.1798701298701,87.4,83.2824242424242,55.3058479532164,88.9,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,67.95,47,47,47,68,28,50,62,80,51,51,34,10,38,38,3,1.5,2.27777777777778,4,3.22222222222222,0.42,0.33,0.67,-0.2,2.77006369426752,281.818181818182
"40","Costa Rica",81.1,80.3,86,100,60.6,83.1,59.6,54.2,52.2,58.9,72.6,67,87.82,48.5,56,41,86,44,40,66,74,50,40,56,10,62,62,4,1.5,3.73333333333333,2.875,3.54545454545455,0.79,0.88,0.67,0.37,10,354.166666666667
"41","Cuba",85.1,66,55.2,72.6,50.2,83.3,52.3,39.3,60.9,68.7,37.3,57.4,53.21,42.5,40,45,62,33,34.8901734104046,62,53,51,51,38,52,44,43,4,7,3,3.125,4.27272727272727,0.71,-0.13,-0.94,-0.26,-7,328.888888888889
"42","Cyprus",90.4,62,73.9,98.2,48.5,50,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,50.7821428571429,52.5,67,38,82,75,45,71,69,41,41,45,57,44,2,4,1,3.05,2.85714285714286,3.66666666666667,0.76,0.89,0.74,1,10,314.285714285714
"43","Czech Republic",97.3,71.4,51.9,96.7,55.5,97.9,46.6,35.1,33.2,80.3,66.8,29.1,60,51.5,70,33,96,65,37,84,76,64,69,51,49,50.6496815286624,7,4,1.5,3.5,2,3.5,0.77,0.38,0.74,0.7,10,315.384615384615
"44","Germany",98.6,21.1,78.3,84.5,61.3,55.9,57,39.1,34.7,76.9,85.4,65.5,96,56.5,77,36,88,82,64,86,75,66,64,54,68,28,8,5,1,3.74193548387097,2.875,3.81818181818182,1,1.82,1.73,1.76,10,357.142857142857
